G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
8	Sun, Dec 1, 2013	REG		North Carolina (16)	ACC	W	63	59		6	2	W 2	Bartow Arena	s/2013-12-01-alabama-birmi	alabama-birmingham	2014
9	Sat, Dec 7, 2013	REG	@	Northeastern	CAA	W	74	69		7	2	W 3	Matthews Arena	s/2013-12-07-northea	alabama-birmingham	2014
10	Sun, Dec 15, 2013	REG		Georgia Southern	Southern	W	84	62		8	2	W 4	Bartow Arena	s/2013-12-15-alabama-birmi	alabama-birmingham	2014
11	Wed, Dec 18, 2013	REG		Chattanooga	Southern	W	67	52		9	2	W 5	Bartow Arena	s/2013-12-18-alabama-birmi	alabama-birmingham	2014
12	Sat, Dec 21, 2013	REG	@	Louisiana State	SEC	L	63	86		9	3	L 1	Maravich Assembly Center	s/2013-12-21-louisiana-	alabama-birmingham	2014
13	Sun, Dec 29, 2013	REG		Alabama A&M	SWAC	W	69	57		10	3	W 1	Bartow Arena	s/2013-12-29-alabama-birmi	alabama-birmingham	2014
14	Sat, Jan 4, 2014	REG		Newberry		W	96	75		11	3	W 2	Bartow Arena	s/2014-01-04-alabama-birmi	alabama-birmingham	2014
15	Sat, Jan 11, 2014	REG	@	Middle Tennessee	CUSA	L	84	89	OT	11	4	L 1	Murphy Athletic Center	s/2014-01-11-middle-tenn	alabama-birmingham	2014
16	Thu, Jan 16, 2014	REG		Texas-San Antonio	CUSA	W	78	65		12	4	W 1	Bartow Arena	s/2014-01-16-alabama-birmi	alabama-birmingham	2014
17	Sat, Jan 18, 2014	REG		Texas-El Paso	CUSA	L	61	63		12	5	L 1	Bartow Arena	s/2014-01-18-alabama-birmi	alabama-birmingham	2014
18	Thu, Jan 23, 2014	REG	@	North Texas	CUSA	L	65	76		12	6	L 2	Super Pit	s/2014-01-23-north-	alabama-birmingham	2014
19	Sat, Jan 25, 2014	REG	@	Tulsa	CUSA	W	70	63		13	6	W 1	Donald W. Reynolds Center	s/2014-01-25-	alabama-birmingham	2014
20	Thu, Jan 30, 2014	REG		Old Dominion	CUSA	W	75	66		14	6	W 2	Bartow Arena	s/2014-01-30-alabama-birmi	alabama-birmingham	2014
