G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
28	Sat, Mar 7, 2015	6:15 pm/est		REG	@	Grambling	SWAC	W	70	66		9	19	W 1		grambling	alabama-am	2015
29	Thu, Mar 12, 2015	3:30 pm/est		CTOURN	N	Southern	SWAC	L	60	64		9	20	L 1		southern	alabama-am	2015
1	Fri, Nov 14, 2014	9:00 pm/est	SEC Network	REG		Towson	CAA	W	82	54		1	0	W 1		towson	alabama	2015
2	Mon, Nov 17, 2014	9:00 pm/est	SEC Network	REG		Western Carolina	Southern	W	80	74		2	0	W 2		western-carolina	alabama	2015
3	Thu, Nov 20, 2014	9:00 pm/est	SEC Network	REG		Southern Mississippi	CUSA	W	81	67		3	0	W 3		southern-mississippi	alabama	2015
4	Mon, Nov 24, 2014	9:30 pm/est	ESPN 2	REG	N	Iowa State (13)	Big 12	L	74	84		3	1	L 1		iowa-state	alabama	2015
5	Tue, Nov 25, 2014	7:00 pm/est		REG	N	Arizona State	Pac-12	W	76	71		4	1	W 1		arizona-state	alabama	2015
6	Tue, Dec 2, 2014	9:00 pm/est	SEC Network	REG		South Florida	AAC	W	82	71		5	1	W 2		south-florida	alabama	2015
7	Sat, Dec 6, 2014	8:00 pm/est	CBSSN	REG	@	Xavier	Big East	L	84	97		5	2	L 1		xavier	alabama	2015
8	Sat, Dec 13, 2014	9:00 pm/est		REG		Tennessee Tech	OVC	W	65	53		6	2	W 1		tennessee-tech	alabama	2015
9	Tue, Dec 16, 2014	9:00 pm/est	ESPN 2	REG	@	Wichita State (11)	MVC	L	52	53		6	3	L 1		wichita-state	alabama	2015
10	Fri, Dec 19, 2014	7:00 pm/est	ESPN3.com	REG		Stillman		W	69	49		7	3	W 1		NA	alabama	2015
11	Sun, Dec 21, 2014	6:30 pm/est	SEC Network	REG		Appalachian State	Sun Belt	W	60	59		8	3	W 2		appalachian-state	alabama	2015
12	Sun, Dec 28, 2014	6:30 pm/est	ESPN U	REG		UCLA	Pac-12	W	56	50		9	3	W 3		ucla	alabama	2015
13	Fri, Jan 2, 2015	7:00 pm/est		REG		North Florida	A-Sun	W	76	61		10	3	W 4		north-florida	alabama	2015
14	Tue, Jan 6, 2015	9:00 pm/est	SEC Network	REG		Texas A&M	SEC	W	65	44		11	3	W 5		texas-am	alabama	2015
15	Sat, Jan 10, 2015	2:00 pm/est	SEC Network	REG	@	Tennessee	SEC	W	56	38		12	3	W 6		tennessee	alabama	2015
16	Tue, Jan 13, 2015	9:00 pm/est	ESPN U	REG	@	South Carolina	SEC	L	66	68		12	4	L 1		south-carolina	alabama	2015
17	Sat, Jan 17, 2015	4:00 pm/est	ESPN	REG		Kentucky (1)	SEC	L	48	70		12	5	L 2		kentucky	alabama	2015
18	Thu, Jan 22, 2015	7:00 pm/est	ESPN 2	REG	@	Arkansas	SEC	L	91	93	OT	12	6	L 3		arkansas	alabama	2015
19	Sat, Jan 24, 2015	8:30 pm/est	SEC Network	REG		Auburn	SEC	W	57	55		13	6	W 1		auburn	alabama	2015
20	Tue, Jan 27, 2015	9:00 pm/est	ESPN	REG		Florida	SEC	L	50	52		13	7	L 1		florida	alabama	2015
21	Sat, Jan 31, 2015	7:00 pm/est	SEC Network	REG	@	Kentucky (1)	SEC	L	55	70		13	8	L 2		kentucky	alabama	2015
22	Wed, Feb 4, 2015	9:00 pm/est	SEC Network	REG		Missouri	SEC	W	62	49		14	8	W 1		missouri	alabama	2015
23	Sat, Feb 7, 2015	6:00 pm/est	ESPN 2	REG	@	Louisiana State	SEC	L	60	71		14	9	L 1		louisiana-state	alabama	2015
24	Tue, Feb 10, 2015	9:00 pm/est	SEC Network	REG	@	Mississippi State	SEC	W	55	51		15	9	W 1		mississippi-state	alabama	2015
25	Sat, Feb 14, 2015	8:00 pm/est	ESPN U	REG		Vanderbilt	SEC	L	68	76		15	10	L 1		vanderbilt	alabama	2015
26	Tue, Feb 17, 2015	9:00 pm/est	ESPN U	REG	@	Auburn	SEC	W	79	68		16	10	W 1		auburn	alabama	2015
27	Sat, Feb 21, 2015	8:00 pm/est	ESPN 2	REG		Georgia	SEC	L	65	66	OT	16	11	L 1		georgia	alabama	2015
28	Tue, Feb 24, 2015	7:00 pm/est	SEC Network	REG		South Carolina	SEC	W	59	51		17	11	W 1		south-carolina	alabama	2015
29	Sat, Feb 28, 2015	4:00 pm/est	SportSouth, FSN-DET+	REG	@	Vanderbilt	SEC	L	66	73		17	12	L 1		vanderbilt	alabama	2015
30	Tue, Mar 3, 2015	7:00 pm/est	SEC Network	REG		Mississippi	SEC	L	74	82		17	13	L 2		mississippi	alabama	2015
31	Sat, Mar 7, 2015	2:00 pm/est	FSN	REG	@	Texas A&M	SEC	W	61	60		18	13	W 1		texas-am	alabama	2015
32	Thu, Mar 12, 2015	1:00 pm/est	SEC Network	CTOURN	N	Florida	SEC	L	61	69		18	14	L 1		florida	alabama	2015
33	Tue, Mar 17, 2015	9:00 pm/est	ESPN	NIT		Illinois	Big Ten	W	79	58		19	14	W 1		illinois	alabama	2015
34	Sat, Mar 21, 2015	11:00 am/est	ESPN	NIT	@	Miami (FL)	ACC	L	66	73		19	15	L 1		miami-fl	alabama	2015
1	Fri, Nov 14, 2014	8:30 pm/est		REG		Auburn Montgomery		W	105	64		1	0	W 1		NA	alabama-state	2015
2	Sun, Nov 16, 2014	5:00 pm/est		REG	@	Arkansas	SEC	L	79	97		1	1	L 1		arkansas	alabama-state	2015
3	Wed, Nov 26, 2014	10:30 pm/est		REG	N	North Dakota	Big Sky	L	68	75		1	2	L 2		north-dakota	alabama-state	2015
4	Fri, Nov 28, 2014	7:00 pm/est		REG	N	Texas-Rio Grande Valley	WAC	W	91	79		2	2	W 1		texas-pan-american	alabama-state	2015
5	Sat, Nov 29, 2014	9:00 pm/est	Pac-12 Network	REG	@	Utah	Pac-12	L	62	93		2	3	L 1		utah	alabama-state	2015
6	Sat, Dec 6, 2014	4:00 pm/est		REG		Jacksonville State	OVC	W	80	55		3	3	W 1		jacksonville-state	alabama-state	2015
7	Sat, Dec 13, 2014	8:00 pm/est		REG	@	Western Illinois	Summit	L	68	78		3	4	L 1		western-illinois	alabama-state	2015
8	Sun, Dec 21, 2014	2:05 pm/est		REG	@	Evansville	MVC	L	63	81		3	5	L 2		evansville	alabama-state	2015
9	Tue, Dec 30, 2014	8:00 pm/est		REG		Fort Valley State		W	76	65		4	5	W 1		NA	alabama-state	2015
10	Sat, Jan 3, 2015	6:00 pm/est		REG		Grambling	SWAC	W	71	50		5	5	W 2		grambling	alabama-state	2015
11	Mon, Jan 5, 2015	9:20 pm/est		REG		Jackson State	SWAC	W	72	52		6	5	W 3		jackson-state	alabama-state	2015
12	Sat, Jan 10, 2015	8:30 pm/est		REG	@	Arkansas-Pine Bluff	SWAC	W	74	71		7	5	W 4		arkansas-pine-bluff	alabama-state	2015
13	Mon, Jan 12, 2015	8:50 pm/est		REG	@	Mississippi Valley State	SWAC	W	88	76		8	5	W 5		mississippi-valley-state	alabama-state	2015
14	Sat, Jan 17, 2015	7:30 pm/est		REG	@	Alabama A&M	SWAC	W	59	56		9	5	W 6		alabama-am	alabama-state	2015
15	Sat, Jan 24, 2015	6:00 pm/est		REG		Alcorn State	SWAC	W	84	60		10	5	W 7		alcorn-state	alabama-state	2015
16	Mon, Jan 26, 2015	8:30 pm/est		REG		Southern	SWAC	W	63	59	OT	11	5	W 8		southern	alabama-state	2015
17	Sat, Jan 31, 2015	8:30 pm/est		REG	@	Texas Southern	SWAC	L	65	80		11	6	L 1		texas-southern	alabama-state	2015
18	Mon, Feb 2, 2015	8:30 pm/est		REG	@	Prairie View	SWAC	W	73	71		12	6	W 1		prairie-view	alabama-state	2015
19	Sat, Feb 7, 2015	6:00 pm/est		REG		Arkansas-Pine Bluff	SWAC	W	73	55		13	6	W 2		arkansas-pine-bluff	alabama-state	2015
20	Mon, Feb 9, 2015	8:55 pm/est		REG		Mississippi Valley State	SWAC	W	65	57		14	6	W 3		mississippi-valley-state	alabama-state	2015
21	Sat, Feb 14, 2015	6:30 pm/est		REG		Alabama A&M	SWAC	L	71	80		14	7	L 1		alabama-am	alabama-state	2015
22	Sat, Feb 21, 2015	7:15 pm/est		REG	@	Alcorn State	SWAC	W	71	67		15	7	W 1		alcorn-state	alabama-state	2015
23	Mon, Feb 23, 2015	9:00 pm/est	ESPN U	REG	@	Southern	SWAC	W	56	54		16	7	W 2		southern	alabama-state	2015
24	Sat, Feb 28, 2015	6:00 pm/est		REG		Texas Southern	SWAC	L	49	58		16	8	L 1		texas-southern	alabama-state	2015
25	Mon, Mar 2, 2015	9:00 pm/est		REG		Prairie View	SWAC	L	65	67		16	9	L 2		prairie-view	alabama-state	2015
26	Thu, Mar 5, 2015	8:30 pm/est		REG	@	Grambling	SWAC	W	78	46		17	9	W 1		grambling	alabama-state	2015
27	Sat, Mar 7, 2015	6:30 pm/est		REG	@	Jackson State	SWAC	W	62	42		18	9	W 2		jackson-state	alabama-state	2015
28	Wed, Mar 11, 2015	3:30 pm/est		CTOURN	N	Mississippi Valley State	SWAC	W	93	81		19	9	W 3		mississippi-valley-state	alabama-state	2015
29	Fri, Mar 13, 2015	3:50 pm/est		CTOURN	N	Southern	SWAC	L	66	68		19	10	L 1		southern	alabama-state	2015
1	Sat, Nov 15, 2014	8:00 pm/est		REG		Louisiana-Monroe	Sun Belt	L	65	74		0	1	L 1		louisiana-monroe	alabama-birmingham	2015
2	Mon, Nov 17, 2014	8:00 pm/est		REG		Young Harris		W	94	81		1	1	W 1		NA	alabama-birmingham	2015
