G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
27	Sat, Feb 28, 2015	6:00 pm/est	ILDN	REG	@	Brown	Ivy	W	80	62		13	14	W 1		brown	princeton	2015
28	Fri, Mar 6, 2015	7:00 pm/est	ILDN	REG		Cornell	Ivy	W	66	53		14	14	W 2		cornell	princeton	2015
29	Sat, Mar 7, 2015	6:00 pm/est	ILDN	REG		Columbia	Ivy	W	85	83		15	14	W 3		columbia	princeton	2015
30	Tue, Mar 10, 2015	7:30 pm/est	CBSSN	REG	@	Pennsylvania	Ivy	W	73	52		16	14	W 4		pennsylvania	princeton	2015
1	Sat, Nov 15, 2014	7:00 pm/est	FS2	REG		Albany (NY)	AEC	W	64	60		1	0	W 1		albany-ny	providence	2015
2	Mon, Nov 17, 2014	9:00 pm/est	FS1	REG		Binghamton	AEC	W	66	45		2	0	W 2		binghamton	providence	2015
3	Thu, Nov 20, 2014	7:00 pm/est	FS2	REG		Navy	Patriot	W	88	51		3	0	W 3		navy	providence	2015
4	Sat, Nov 22, 2014	2:30 pm/est	ESPN3.com	REG	N	Florida State	ACC	W	80	54		4	0	W 4		florida-state	providence	2015
5	Sun, Nov 23, 2014	2:30 pm/est	ESPN 2	REG	N	Notre Dame	ACC	W	75	74		5	0	W 5		notre-dame	providence	2015
6	Fri, Nov 28, 2014	4:00 pm/est	FS1	REG		Yale	Ivy	W	72	66		6	0	W 6		yale	providence	2015
7	Sun, Nov 30, 2014	2:00 pm/est	ESPN 2	REG	@	Kentucky (1)	SEC	L	38	58		6	1	L 1		kentucky	providence	2015
8	Fri, Dec 5, 2014	7:00 pm/est	ESPN3.com	REG	@	Boston College	ACC	L	60	69		6	2	L 2		boston-college	providence	2015
9	Mon, Dec 8, 2014	9:00 pm/est	FS1	REG		Brown	Ivy	L	67	77		6	3	L 3		brown	providence	2015
10	Wed, Dec 10, 2014	7:00 pm/est	RSN	REG		Rhode Island	A-10	W	68	60		7	3	W 1		rhode-island	providence	2015
11	Sat, Dec 13, 2014	12:00 pm/est	FSN, MASN2, YES	REG		Stony Brook	AEC	W	79	61		8	3	W 2		stony-brook	providence	2015
12	Sat, Dec 20, 2014	1:00 pm/est	CBSSN	REG		Massachusetts	A-10	W	85	65		9	3	W 3		massachusetts	providence	2015
13	Mon, Dec 22, 2014	9:00 pm/est	FS1	REG	N	Miami (FL)	ACC	W	76	62		10	3	W 4		miami-fl	providence	2015
14	Wed, Dec 31, 2014	7:30 pm/est	FS1	REG		Creighton	Big East	W	65	53		11	3	W 5		creighton	providence	2015
15	Sat, Jan 3, 2015	2:00 pm/est	FSN-WI, MASN2	REG	@	Marquette	Big East	L	66	75		11	4	L 1		marquette	providence	2015
16	Tue, Jan 6, 2015	9:00 pm/est	CBSSN	REG	@	Butler	Big East	W	66	62		12	4	W 1		butler	providence	2015
17	Sat, Jan 10, 2015	12:00 pm/est	FS1	REG		Georgetown	Big East	W	60	57	OT	13	4	W 2		georgetown	providence	2015
18	Wed, Jan 14, 2015	7:00 pm/est	FS1	REG		St. John's (NY)	Big East	L	70	83		13	5	L 1		st-johns-ny	providence	2015
19	Sat, Jan 17, 2015	7:30 pm/est	FS1	REG	@	Creighton	Big East	W	74	65		14	5	W 1		creighton	providence	2015
20	Thu, Jan 22, 2015	7:00 pm/est	FSN, MASN2	REG		Xavier	Big East	W	69	66	OT	15	5	W 2		xavier	providence	2015
21	Thu, Jan 29, 2015	2:00 pm/est	FS1	REG		DePaul	Big East	W	83	72		16	5	W 3		depaul	providence	2015
22	Sat, Jan 31, 2015	12:00 pm/est	FOX	REG	@	St. John's (NY)	Big East	L	66	75		16	6	L 1		st-johns-ny	providence	2015
23	Wed, Feb 4, 2015	9:00 pm/est	CBSSN	REG	@	Georgetown (24)	Big East	W	74	71		17	6	W 1		georgetown	providence	2015
24	Sat, Feb 7, 2015	1:00 pm/est	FS1	REG	@	Xavier	Big East	L	69	78		17	7	L 1		xavier	providence	2015
25	Wed, Feb 11, 2015	8:00 pm/est	FS1	REG		Villanova (6)	Big East	L	68	74		17	8	L 2		villanova	providence	2015
26	Sat, Feb 14, 2015	4:00 pm/est	FSN-W, WI, MASN2, YES	REG		Seton Hall	Big East	W	69	62		18	8	W 1		seton-hall	providence	2015
27	Wed, Feb 18, 2015	9:00 pm/est	CBSSN	REG	@	DePaul	Big East	W	84	57		19	8	W 2		depaul	providence	2015
28	Tue, Feb 24, 2015	7:00 pm/est	FS1	REG	@	Villanova (6)	Big East	L	61	89		19	9	L 1		villanova	providence	2015
29	Sun, Mar 1, 2015	3:30 pm/est	FS1	REG		Marquette	Big East	W	77	66		20	9	W 1		marquette	providence	2015
30	Wed, Mar 4, 2015	7:00 pm/est	FS1	REG	@	Seton Hall	Big East	W	79	66		21	9	W 2		seton-hall	providence	2015
31	Sat, Mar 7, 2015	12:00 pm/est	FSN, MASN2	REG		Butler (21)	Big East	L	64	68		21	10	L 1		butler	providence	2015
32	Thu, Mar 12, 2015	2:30 pm/est	FS1	CTOURN	N	St. John's (NY)	Big East	W	74	57		22	10	W 1		st-johns-ny	providence	2015
33	Fri, Mar 13, 2015	7:00 pm/est	FS1	CTOURN	N	Villanova (4)	Big East	L	61	63		22	11	L 1		villanova	providence	2015
34	Fri, Mar 20, 2015	10:53 pm/est	truTV	NCAA	N	Dayton	A-10	L	53	66		22	12	L 2		dayton	providence	2015
1	Fri, Nov 14, 2014	7:00 pm/est	Big Ten Network+	REG		Samford	Southern	W	80	40		1	0	W 1		samford	purdue	2015
2	Sun, Nov 16, 2014	3:00 pm/est	Big Ten Network	REG		IUPUI	Summit	W	77	57		2	0	W 2		iupui	purdue	2015
3	Thu, Nov 20, 2014	7:00 pm/est		REG		Grambling	SWAC	W	82	30		3	0	W 3		grambling	purdue	2015
4	Mon, Nov 24, 2014	2:30 pm/est	ESPN 2	REG	N	Kansas State	Big 12	L	79	88		3	1	L 1		kansas-state	purdue	2015
5	Tue, Nov 25, 2014	2:00 pm/est	ESPN 2	REG	N	Missouri	SEC	W	82	61		4	1	W 1		missouri	purdue	2015
6	Wed, Nov 26, 2014	5:00 pm/est	ESPN 2	REG	N	Brigham Young	WCC	W	87	85	OT	5	1	W 2		brigham-young	purdue	2015
7	Tue, Dec 2, 2014	9:00 pm/est	ESPN U	REG		North Carolina State	ACC	W	66	61		6	1	W 3		north-carolina-state	purdue	2015
8	Sat, Dec 6, 2014	2:00 pm/est	BTN Plus	REG		North Florida	A-Sun	L	70	73		6	2	L 1		north-florida	purdue	2015
9	Mon, Dec 8, 2014	7:00 pm/est	ESPN U	REG		IPFW	Summit	W	63	43		7	2	W 1		ipfw	purdue	2015
10	Wed, Dec 10, 2014	7:00 pm/est	ESPN3.com	REG		Arkansas State	Sun Belt	W	87	46		8	2	W 2		arkansas-state	purdue	2015
11	Sat, Dec 13, 2014	9:00 pm/est	SEC Network	REG	@	Vanderbilt	SEC	L	71	81		8	3	L 1		vanderbilt	purdue	2015
12	Sat, Dec 20, 2014	5:15 pm/est	Big Ten Network	REG	N	Notre Dame (21)	ACC	L	63	94		8	4	L 2		notre-dame	purdue	2015
13	Mon, Dec 22, 2014	6:00 pm/est	Big Ten Network+	REG		Gardner-Webb	Big South	L	84	89		8	5	L 3		gardner-webb	purdue	2015
14	Wed, Dec 31, 2014	3:15 pm/est	Big Ten Network	REG		Minnesota	Big Ten	W	72	68		9	5	W 1		minnesota	purdue	2015
15	Sat, Jan 3, 2015	2:15 pm/est	Big Ten Network	REG		Michigan	Big Ten	W	64	51		10	5	W 2		michigan	purdue	2015
16	Wed, Jan 7, 2015	7:00 pm/est	Big Ten Network	REG	@	Wisconsin (4)	Big Ten	L	55	62		10	6	L 1		wisconsin	purdue	2015
17	Sat, Jan 10, 2015	2:30 pm/est	Big Ten Network	REG		Maryland (11)	Big Ten	L	60	69		10	7	L 2		maryland	purdue	2015
18	Sat, Jan 17, 2015	1:00 pm/est	ESPN U	REG	@	Penn State	Big Ten	W	84	77	OT	11	7	W 1		penn-state	purdue	2015
19	Wed, Jan 21, 2015	9:00 pm/est	Big Ten Network	REG	@	Illinois	Big Ten	L	57	66		11	8	L 1		illinois	purdue	2015
20	Sat, Jan 24, 2015	12:00 pm/est	Big Ten Network	REG		Iowa (25)	Big Ten	W	67	63		12	8	W 1		iowa	purdue	2015
21	Wed, Jan 28, 2015	9:00 pm/est	Big Ten Network	REG		Indiana (22)	Big Ten	W	83	67		13	8	W 2		indiana	purdue	2015
22	Sat, Jan 31, 2015	6:00 pm/est	ESPN U	REG	@	Northwestern	Big Ten	W	68	60		14	8	W 3		northwestern	purdue	2015
23	Wed, Feb 4, 2015	6:30 pm/est	Big Ten Network	REG		Ohio State (20)	Big Ten	W	60	58		15	8	W 4		ohio-state	purdue	2015
24	Sat, Feb 7, 2015	3:00 pm/est	Big Ten Network	REG	@	Minnesota	Big Ten	L	58	62		15	9	L 1		minnesota	purdue	2015
25	Thu, Feb 12, 2015	7:00 pm/est	ESPN U	REG	@	Rutgers	Big Ten	W	61	51		16	9	W 1		rutgers	purdue	2015
26	Sun, Feb 15, 2015	5:15 pm/est	Big Ten Network	REG		Nebraska	Big Ten	W	66	54		17	9	W 2		nebraska	purdue	2015
27	Thu, Feb 19, 2015	7:00 pm/est	ESPN	REG	@	Indiana	Big Ten	W	67	63		18	9	W 3		indiana	purdue	2015
28	Thu, Feb 26, 2015	9:00 pm/est	ESPN U	REG		Rutgers	Big Ten	W	92	85		19	9	W 4		rutgers	purdue	2015
29	Sun, Mar 1, 2015	7:30 pm/est	Big Ten Network	REG	@	Ohio State	Big Ten	L	61	65		19	10	L 1		ohio-state	purdue	2015
30	Wed, Mar 4, 2015	8:00 pm/est	Big Ten Network	REG	@	Michigan State	Big Ten	L	66	72		19	11	L 2		michigan-state	purdue	2015
31	Sat, Mar 7, 2015	4:30 pm/est	Big Ten Network	REG		Illinois	Big Ten	W	63	58		20	11	W 1		illinois	purdue	2015
32	Fri, Mar 13, 2015	2:15 pm/est	ESPN	CTOURN	N	Penn State	Big Ten	W	64	59		21	11	W 2		penn-state	purdue	2015
33	Sat, Mar 14, 2015	1:00 pm/est	CBS	CTOURN	N	Wisconsin (6)	Big Ten	L	51	71		21	12	L 1		wisconsin	purdue	2015
34	Thu, Mar 19, 2015	7:10 pm/est	CBS	NCAA	N	Cincinnati	AAC	L	65	66	OT	21	13	L 2		cincinnati	purdue	2015
1	Fri, Nov 14, 2014	5:30 pm/est		REG		Yale	Ivy	W	88	85	2OT	1	0	W 1		yale	quinnipiac	2015
2	Tue, Nov 18, 2014	8:00 pm/est		REG		La Salle	A-10	L	58	60		1	1	L 1		la-salle	quinnipiac	2015
3	Sat, Nov 22, 2014	7:00 pm/est		REG	@	Albany (NY)	AEC	W	76	73	OT	2	1	W 1		albany-ny	quinnipiac	2015
4	Tue, Nov 25, 2014	7:00 pm/est		REG		Hartford	AEC	L	50	54		2	2	L 1		hartford	quinnipiac	2015
5	Sun, Nov 30, 2014	1:00 pm/est		REG		Vermont	AEC	W	89	73		3	2	W 1		vermont	quinnipiac	2015
6	Fri, Dec 5, 2014	7:00 pm/est	TWC Sports	REG	@	Siena	MAAC	L	67	88		3	3	L 1		siena	quinnipiac	2015
7	Sun, Dec 7, 2014	1:00 pm/est		REG		Fairfield	MAAC	L	52	56	OT	3	4	L 2		fairfield	quinnipiac	2015
8	Sun, Dec 14, 2014	1:00 pm/est	Patriot League Network	REG	@	Boston University	Patriot	L	68	71		3	5	L 3		boston-university	quinnipiac	2015
9	Thu, Dec 18, 2014	7:00 pm/est		REG		Lehigh	Patriot	W	80	65		4	5	W 1		lehigh	quinnipiac	2015
10	Sun, Dec 21, 2014	1:00 pm/est		REG		Oregon State	Pac-12	W	60	52		5	5	W 2		oregon-state	quinnipiac	2015
11	Mon, Dec 29, 2014	7:00 pm/est	Patriot League Network	REG		Maine	AEC	W	81	64		6	5	W 3		maine	quinnipiac	2015
12	Fri, Jan 2, 2015	4:00 pm/est		REG		Saint Peter's	MAAC	L	60	66		6	6	L 1		saint-peters	quinnipiac	2015
13	Tue, Jan 6, 2015	7:00 pm/est		REG	@	Iona	MAAC	L	73	81		6	7	L 2		iona	quinnipiac	2015
14	Fri, Jan 9, 2015	7:00 pm/est	ESPN3.com	REG	@	Monmouth	MAAC	W	68	64		7	7	W 1		monmouth	quinnipiac	2015
15	Sun, Jan 11, 2015	1:00 pm/est		REG		Marist	MAAC	W	66	54		8	7	W 2		marist	quinnipiac	2015
16	Thu, Jan 15, 2015	8:00 pm/est	ESPN3.com	REG		Rider	MAAC	L	53	56		8	8	L 1		rider	quinnipiac	2015
17	Sun, Jan 18, 2015	3:00 pm/est		REG	@	Marist	MAAC	W	72	71		9	8	W 1		marist	quinnipiac	2015
18	Wed, Jan 21, 2015	7:00 pm/est		REG	@	Saint Peter's	MAAC	W	63	55		10	8	W 2		saint-peters	quinnipiac	2015
19	Fri, Jan 23, 2015	7:00 pm/est	ESPN U	REG		Manhattan	MAAC	W	73	59		11	8	W 3		manhattan	quinnipiac	2015
20	Fri, Jan 30, 2015	7:00 pm/est		REG	@	Canisius	MAAC	L	57	63		11	9	L 1		canisius	quinnipiac	2015
21	Sun, Feb 1, 2015	2:00 pm/est		REG	@	Niagara	MAAC	L	100	105	2OT	11	10	L 2		niagara	quinnipiac	2015
22	Thu, Feb 5, 2015	7:00 pm/est		REG		Monmouth	MAAC	W	72	52		12	10	W 1		monmouth	quinnipiac	2015
23	Sun, Feb 8, 2015	1:00 pm/est		REG		Niagara	MAAC	W	91	69		13	10	W 2		niagara	quinnipiac	2015
24	Fri, Feb 13, 2015	8:00 pm/est	ESPN3.com	REG	@	Fairfield	MAAC	W	60	59		14	10	W 3		fairfield	quinnipiac	2015
25	Sun, Feb 15, 2015	4:00 pm/est		REG		Iona	MAAC	L	57	60		14	11	L 1		iona	quinnipiac	2015
26	Thu, Feb 19, 2015	7:00 pm/est		REG	@	Rider	MAAC	L	83	94		14	12	L 2		rider	quinnipiac	2015
27	Sat, Feb 21, 2015	1:00 pm/est		REG		Canisius	MAAC	L	63	65		14	13	L 3		canisius	quinnipiac	2015
28	Fri, Feb 27, 2015	6:00 pm/est	ESPN U	REG		Siena	MAAC	W	73	63		15	13	W 1		siena	quinnipiac	2015
29	Sun, Mar 1, 2015	2:00 pm/est	ESPN3.com	REG	@	Manhattan	MAAC	L	65	69		15	14	L 1		manhattan	quinnipiac	2015
30	Thu, Mar 5, 2015	9:20 pm/est		CTOURN	N	Marist	MAAC	L	74	80		15	15	L 2		marist	quinnipiac	2015
1	Fri, Nov 14, 2014	7:30 pm/est		REG	@	Richmond	A-10	L	46	64		0	1	L 1		richmond	radford	2015
2	Mon, Nov 17, 2014	7:00 pm/est		REG	@	James Madison	CAA	L	71	74		0	2	L 2		james-madison	radford	2015
3	Thu, Nov 20, 2014	7:30 pm/est	RUTV, Big South Network	REG		Howard	MEAC	W	61	52		1	2	W 1		howard	radford	2015
4	Sun, Nov 23, 2014	3:00 pm/est	RUTV, Big South Network	REG		Catawba		W	88	52		2	2	W 2		NA	radford	2015
5	Wed, Nov 26, 2014	8:00 pm/est		REG	@	Texas Christian	Big 12	L	50	74		2	3	L 1		texas-christian	radford	2015
6	Fri, Nov 28, 2014	1:30 pm/est		REG	N	North Carolina A&T	MEAC	W	65	57		3	3	W 1		north-carolina-at	radford	2015
7	Sat, Nov 29, 2014	2:00 pm/est		REG	N	Texas A&M-Corpus Christi	Southland	W	57	46		4	3	W 2		texas-am-corpus-christi	radford	2015
8	Sun, Dec 7, 2014	3:00 pm/est	ESPN3.com	REG	@	Virginia Tech	ACC	W	68	66		5	3	W 3		virginia-tech	radford	2015
9	Sat, Dec 13, 2014	12:00 pm/est	FS1	REG	@	Georgetown	Big East	L	49	76		5	4	L 1		georgetown	radford	2015
10	Tue, Dec 16, 2014	7:00 pm/est		REG		Johnson & Wales (NC)		W	92	54		6	4	W 1		NA	radford	2015
11	Fri, Dec 19, 2014	6:00 pm/est	RUTV, Big South Network	REG		Siena	MAAC	W	76	66		7	4	W 2		siena	radford	2015
12	Sun, Dec 21, 2014	2:00 pm/est	PLN, Big South Network	REG		Cornell	Ivy	W	74	61		8	4	W 3		cornell	radford	2015
13	Sun, Dec 28, 2014	3:00 pm/est	RUTV, Big South Network	REG		Central Pennsylvania College		W	119	69		9	4	W 4		NA	radford	2015
14	Wed, Dec 31, 2014	4:00 pm/est	RUTV, Big South Network	REG		North Carolina-Asheville	Big South	L	60	62		9	5	L 1		north-carolina-asheville	radford	2015
15	Sat, Jan 3, 2015	5:00 pm/est	Big South Network	REG	@	Longwood	Big South	L	79	90	2OT	9	6	L 2		longwood	radford	2015
16	Thu, Jan 8, 2015	7:00 pm/est	ESPN U	REG	@	Gardner-Webb	Big South	L	85	88	2OT	9	7	L 3		gardner-webb	radford	2015
17	Sat, Jan 10, 2015	4:00 pm/est	RUTV, Big South Network	REG		Presbyterian	Big South	W	95	82		10	7	W 1		presbyterian	radford	2015
18	Thu, Jan 15, 2015	7:00 pm/est	Big South Network	REG	@	Campbell	Big South	W	72	55		11	7	W 2		campbell	radford	2015
19	Sat, Jan 17, 2015	1:00 pm/est	Big South Network	REG	@	Winthrop	Big South	W	85	77		12	7	W 3		winthrop	radford	2015
20	Thu, Jan 22, 2015	7:00 pm/est	RUTV, Big South Network	REG		High Point	Big South	W	73	66		13	7	W 4		high-point	radford	2015
21	Sat, Jan 24, 2015	4:30 pm/est	ESPN3.com	REG		Liberty	Big South	W	84	76		14	7	W 5		liberty	radford	2015
22	Wed, Jan 28, 2015	7:30 pm/est	Big South Network	REG	@	Charleston Southern	Big South	W	84	77		15	7	W 6		charleston-southern	radford	2015
23	Sat, Jan 31, 2015	4:00 pm/est	RUTV, Big South Network	REG		Winthrop	Big South	W	73	66		16	7	W 7		winthrop	radford	2015
24	Tue, Feb 3, 2015	7:00 pm/est	ESPN3.com	REG	@	High Point	Big South	W	67	64		17	7	W 8		high-point	radford	2015
25	Fri, Feb 6, 2015	7:00 pm/est	RUTV, Big South Network	REG		Charleston Southern	Big South	L	71	79		17	8	L 1		charleston-southern	radford	2015
26	Wed, Feb 11, 2015	7:00 pm/est	RUTV, Big South Network	REG		Longwood	Big South	W	80	75		18	8	W 1		longwood	radford	2015
27	Sat, Feb 14, 2015	7:30 pm/est	Big South Network	REG	@	Presbyterian	Big South	W	62	56		19	8	W 2		presbyterian	radford	2015
28	Mon, Feb 16, 2015	8:00 pm/est	ASN, Big South Net, MASN	REG		Coastal Carolina	Big South	L	59	65		19	9	L 1		coastal-carolina	radford	2015
29	Sat, Feb 21, 2015	4:30 pm/est	Big South Network	REG	@	North Carolina-Asheville	Big South	W	75	68		20	9	W 1		north-carolina-asheville	radford	2015
30	Thu, Feb 26, 2015	7:00 pm/est	LFSN, Big South Net, MASN	REG	@	Liberty	Big South	L	69	80		20	10	L 1		liberty	radford	2015
31	Sat, Feb 28, 2015	4:00 pm/est	RUTV, Big South Network	REG		Gardner-Webb	Big South	W	72	62		21	10	W 1		gardner-webb	radford	2015
32	Fri, Mar 6, 2015	2:30 pm/est	ESPN3.com	CTOURN	N	Winthrop	Big South	L	66	67		21	11	L 1		winthrop	radford	2015
33	Wed, Mar 18, 2015	8:00 pm/est		CBI	@	Delaware State	MEAC	W	78	57		22	11	W 1		delaware-state	radford	2015
34	Mon, Mar 23, 2015	7:00 pm/est		CBI	@	Vermont	AEC	L	71	78		22	12	L 1		vermont	radford	2015
1	Fri, Nov 14, 2014	7:00 pm/est	Ocean State Network	REG		Pace		W	94	54		1	0	W 1		NA	rhode-island	2015
2	Sun, Nov 16, 2014	2:00 pm/est	OSN, SNY	REG		Massachusetts-Lowell	AEC	W	72	56		2	0	W 2		massachusetts-lowell	rhode-island	2015
3	Sat, Nov 22, 2014	7:00 pm/est	OSN, SNY	REG		Nebraska (21)	Big Ten	W	66	62	OT	3	0	W 3		nebraska	rhode-island	2015
4	Thu, Nov 27, 2014	2:35 pm/est	ESPN 2	REG	N	Kansas (11)	Big 12	L	60	76		3	1	L 1		kansas	rhode-island	2015
5	Fri, Nov 28, 2014	2:30 pm/est	ESPN U	REG	N	Santa Clara	WCC	W	66	44		4	1	W 1		santa-clara	rhode-island	2015
6	Sun, Nov 30, 2014	6:30 pm/est	ESPN U	REG	N	Georgia Tech	ACC	L	61	64		4	2	L 1		georgia-tech	rhode-island	2015
7	Sat, Dec 6, 2014	8:00 pm/est		REG	@	Southern Mississippi	CUSA	W	75	43		5	2	W 1		southern-mississippi	rhode-island	2015
8	Wed, Dec 10, 2014	7:00 pm/est	RSN	REG	@	Providence	Big East	L	60	68		5	3	L 1		providence	rhode-island	2015
9	Sat, Dec 13, 2014	2:00 pm/est	Ocean State Network	REG		Delaware State	MEAC	W	83	44		6	3	W 1		delaware-state	rhode-island	2015
10	Sat, Dec 20, 2014	4:00 pm/est	Ocean State Network	REG		Detroit Mercy	Horizon	W	69	55		7	3	W 2		detroit-mercy	rhode-island	2015
11	Wed, Dec 31, 2014	4:00 pm/est	Ocean State Network	REG		Brown	Ivy	W	80	60		8	3	W 3		brown	rhode-island	2015
12	Sat, Jan 3, 2015	3:00 pm/est	NBCSN	REG	@	Saint Louis	A-10	W	65	53		9	3	W 4		saint-louis	rhode-island	2015
13	Wed, Jan 7, 2015	7:00 pm/est	CampusInsiders.com	REG		Fordham	A-10	W	68	65		10	3	W 5		fordham	rhode-island	2015
14	Sat, Jan 10, 2015	1:00 pm/est	MASN, American Sports Net	REG	@	Duquesne	A-10	W	61	60		11	3	W 6		duquesne	rhode-island	2015
15	Tue, Jan 13, 2015	7:30 pm/est	CBSSN	REG		Virginia Commonwealth (17)	A-10	L	60	65		11	4	L 1		virginia-commonwealth	rhode-island	2015
16	Sat, Jan 17, 2015	2:30 pm/est	NBCSN	REG	@	Massachusetts	A-10	L	56	60		11	5	L 2		massachusetts	rhode-island	2015
17	Thu, Jan 22, 2015	7:00 pm/est	CSN-PHI, COX-RI	REG		La Salle	A-10	W	59	47		12	5	W 1		la-salle	rhode-island	2015
18	Sun, Jan 25, 2015	2:00 pm/est	Ocean State Network	REG		St. Bonaventure	A-10	W	53	48		13	5	W 2		st-bonaventure	rhode-island	2015
19	Wed, Jan 28, 2015	7:00 pm/est		REG	@	Fordham	A-10	W	64	63		14	5	W 3		fordham	rhode-island	2015
20	Sat, Jan 31, 2015	4:00 pm/est	Ocean State Network	REG		George Washington	A-10	W	59	55		15	5	W 4		george-washington	rhode-island	2015
21	Sun, Feb 8, 2015	2:30 pm/est	NBCSN	REG	@	Richmond	A-10	W	79	74		16	5	W 5		richmond	rhode-island	2015
22	Wed, Feb 11, 2015	7:00 pm/est		REG	@	Saint Joseph's	A-10	L	64	65		16	6	L 1		saint-josephs	rhode-island	2015
23	Sat, Feb 14, 2015	2:00 pm/est	OSN, FSN-MW	REG		Saint Louis	A-10	W	81	68		17	6	W 1		saint-louis	rhode-island	2015
24	Wed, Feb 18, 2015	7:00 pm/est	A-10 Network, SNY	REG		Massachusetts	A-10	W	75	59		18	6	W 2		massachusetts	rhode-island	2015
25	Sat, Feb 21, 2015	4:00 pm/est		REG	@	George Mason	A-10	W	71	56		19	6	W 3		george-mason	rhode-island	2015
26	Wed, Feb 25, 2015	7:00 pm/est	Ocean State Network	REG		Davidson	A-10	L	59	60		19	7	L 1		davidson	rhode-island	2015
27	Sat, Feb 28, 2015	12:30 pm/est	NBCSN	REG	@	La Salle	A-10	W	59	56		20	7	W 1		la-salle	rhode-island	2015
28	Tue, Mar 3, 2015	7:00 pm/est	CBSSN	REG	@	Dayton	A-10	L	59	75		20	8	L 1		dayton	rhode-island	2015
29	Sat, Mar 7, 2015	2:00 pm/est	Ocean State Network	REG		Saint Joseph's	A-10	W	78	68		21	8	W 1		saint-josephs	rhode-island	2015
30	Fri, Mar 13, 2015	9:00 pm/est	NBCSN	CTOURN	N	George Washington	A-10	W	71	58		22	8	W 2		george-washington	rhode-island	2015
31	Sat, Mar 14, 2015	4:25 pm/est	CBSSN	CTOURN	N	Dayton	A-10	L	52	56		22	9	L 1		dayton	rhode-island	2015
32	Tue, Mar 17, 2015	7:00 pm/est	ESPN U	NIT		Iona	MAAC	W	88	75		23	9	W 1		iona	rhode-island	2015
33	Sun, Mar 22, 2015	9:30 pm/est	ESPN U	NIT	@	Stanford	Pac-12	L	65	74		23	10	L 1		stanford	rhode-island	2015
1	Fri, Nov 14, 2014	10:00 pm/est	Pac-12 Network	REG	@	Oregon State	Pac-12	L	54	67		0	1	L 1		oregon-state	rice	2015
2	Wed, Nov 19, 2014	8:00 pm/est		REG		Prairie View	SWAC	W	68	64		1	1	W 1		prairie-view	rice	2015
3	Sat, Nov 22, 2014	8:00 pm/est		REG		William & Mary	CAA	L	65	69		1	2	L 1		william-mary	rice	2015
4	Thu, Nov 27, 2014	9:30 pm/est	CBSSN	REG	N	Mercer	Southern	L	71	77	OT	1	3	L 2		mercer	rice	2015
5	Fri, Nov 28, 2014	6:15 pm/est		REG	N	Washington State	Pac-12	L	74	76		1	4	L 3		washington-state	rice	2015
6	Sat, Nov 29, 2014	4:00 pm/est		REG	@	Alaska-Anchorage		L	54	65		1	5	L 4		NA	rice	2015
7	Wed, Dec 3, 2014	8:00 pm/est		REG		Houston Baptist	Southland	L	55	58		1	6	L 5		houston-baptist	rice	2015
8	Sat, Dec 6, 2014	8:00 pm/est		REG		St. Edward's		W	54	49		2	6	W 1		NA	rice	2015
9	Thu, Dec 18, 2014	12:30 pm/est		REG		St. Thomas (TX)		W	72	61		3	6	W 2		NA	rice	2015
10	Mon, Dec 22, 2014	8:00 pm/est		REG	@	Lamar	Southland	L	72	79	OT	3	7	L 1		lamar	rice	2015
11	Mon, Dec 29, 2014	1:00 pm/est	Longhorn Network	REG	@	Texas (11)	Big 12	L	55	66		3	8	L 2		texas	rice	2015
12	Fri, Jan 2, 2015	8:00 pm/est		REG		Texas-San Antonio	CUSA	W	67	52		4	8	W 1		texas-san-antonio	rice	2015
13	Sun, Jan 4, 2015	3:30 pm/est	ASN, MASN	REG		Texas-El Paso	CUSA	L	57	66		4	9	L 1		texas-el-paso	rice	2015
14	Sat, Jan 10, 2015	3:00 pm/est	ASN	REG		North Texas	CUSA	L	63	66		4	10	L 2		north-texas	rice	2015
15	Thu, Jan 15, 2015	7:00 pm/est		REG	@	Old Dominion	CUSA	L	53	63		4	11	L 3		old-dominion	rice	2015
16	Sat, Jan 17, 2015	7:00 pm/est		REG	@	Charlotte	CUSA	W	73	68	OT	5	11	W 1		charlotte	rice	2015
17	Thu, Jan 22, 2015	8:00 pm/est		REG		Southern Mississippi	CUSA	W	58	56		6	11	W 2		southern-mississippi	rice	2015
18	Sat, Jan 24, 2015	8:00 pm/est		REG		Louisiana Tech	CUSA	L	45	58		6	12	L 1		louisiana-tech	rice	2015
19	Wed, Jan 28, 2015	8:00 pm/est	ESPN3.com	REG	@	Houston	AAC	L	48	59		6	13	L 2		houston	rice	2015
20	Sat, Jan 31, 2015	8:00 pm/est	ASN	REG	@	North Texas	CUSA	L	65	75		6	14	L 3		north-texas	rice	2015
21	Thu, Feb 5, 2015	7:00 pm/est		REG	@	Marshall	CUSA	L	55	69		6	15	L 4		marshall	rice	2015
22	Sat, Feb 7, 2015	8:00 pm/est	FCS, WKU PBS, WBNA	REG	@	Western Kentucky	CUSA	W	72	68		7	15	W 1		western-kentucky	rice	2015
23	Thu, Feb 12, 2015	8:00 pm/est		REG		Middle Tennessee	CUSA	W	71	68	2OT	8	15	W 2		middle-tennessee	rice	2015
24	Sat, Feb 14, 2015	8:00 pm/est		REG		Alabama-Birmingham	CUSA	W	82	73	2OT	9	15	W 3		alabama-birmingham	rice	2015
